,speed,density
0,41.74476890539855,67.22994804290796
1,53.83761394475401,71.98798354455388
2,55.34619266982322,72.65342419604848
3,42.65865483703504,66.33827234592549
4,55.77606491535064,75.49809432730304
5,44.68523886609827,61.03776938608566
6,61.839532236522665,52.76095439025049
7,58.78224025508747,60.27691446114065
8,55.26208667084333,72.72490472757606
9,41.793519453146274,63.40486276456526
10,53.67181955181293,75.18627184838923
11,44.446799391960866,64.11069099222681
12,57.16446356817345,71.88396168672044
13,56.06937053071741,68.23975211105044
14,52.159455299582746,71.67477282463037
15,44.06735076744848,63.92138600512015
16,62.63532149349132,53.08906100948186
17,60.70219709712673,53.530333048254406
18,52.44191154659911,66.34008883024691
19,36.27342653054599,70.78288989074358
20,44.101044427077106,65.63837467764513
21,58.04207314101907,52.009002683712644
22,55.01862594463681,70.95738508716445
23,57.723106296053714,71.05390635796945
24,35.5987872456839,61.5218907757588
25,50.03965685005862,70.88071579660004
26,58.345482398665716,47.818108843016404
27,40.07304816217114,60.27603688526087
28,44.93925170676748,68.01271690663833
29,42.180600727603526,64.26749547779208
30,56.278337711923854,66.91020557841028
31,54.91285045489494,76.87654811895945
32,42.238965580018736,63.72874972949589
33,53.64049345045323,69.27657220291968
34,57.83624482955178,50.089045316282146
35,61.848010678667,54.75358456082367
36,55.95044958425568,73.63865614181779
37,61.1161114042941,54.193867130760815
38,62.196732185457165,49.63745016675718
39,36.83627128342052,63.155489294544154
40,57.44299883940963,53.258169220082046
41,40.40825418672941,63.416551181102804
42,37.05986458185938,65.65585668489692
43,44.43493442749484,68.4949499953606
44,60.48402727401218,74.23707061206811
45,58.57222243491563,75.12607618359519
46,52.85835241076035,71.614428312065
47,45.5710081318385,63.22925389511145
48,51.361980177389995,77.34980019418983
49,55.08090205988198,72.4263523304613
50,52.97838411168958,70.43071313928054
51,59.87769587440352,53.5949456614845
52,40.408599134085414,63.02584336976228
53,41.89247888539902,71.35958179856024
54,42.03385796219305,67.64992944181301
55,41.30518468761887,59.73998874071251
56,60.74585722106051,55.184861408290516
57,63.03891407850684,55.44450125851875
58,56.611122842577295,70.89404037050797
59,59.34610697411927,77.2066041653337
60,38.36270451968221,60.54925878927294
61,47.30988473051315,65.0820945731276
62,54.796803707716506,72.8039322488332
63,58.4843894002683,53.77455311048167
64,59.16879209333705,53.77018076696191
65,43.22451100056731,66.41594281009196
66,55.65394656383051,54.67810428229068
67,57.53787093083191,57.83936716397724
68,42.48137158941103,59.61926599969975
69,60.07161279119049,59.62834646463779
70,59.34929870002302,49.46030688069976
71,51.66909252820084,74.68229181803537
72,53.57588973756756,77.06672782267998
73,41.16713284610184,65.69957897020817
74,51.122964312582695,73.85140770473768
75,42.51396487884074,66.07092163550848
76,58.90974009661236,54.54075577676486
77,67.05426445923695,54.36154684470776
78,57.40850260568605,53.45037297259153
79,34.38796321990024,66.40836987974376
80,40.481217254965735,63.14632995128325
81,55.41362881949373,70.31359382861716
82,54.571693837351795,72.75073214305706
